bts_id,siec,standard,lokalizacja
168,Konkurent_1,  LTE 5G ,Sieraków   
169,Orange,GSM  LTE 5G ,Łeba   
170,Konkurent_2,GSM  LTE 5G ,Solec Kujawski  
171,Konkurent_2,GSM    ,Kęty   
172,Konkurent_3,GSM   5G ,Grodzisk Wielkopolski  
173,Konkurent_3,GSM  LTE  ,Mikołów   
174,Konkurent_1,  LTE  ,Radzionków   
175,Konkurent_2, UMTS   ,Konin   
176,Orange,GSM    ,Chojna   
177,Konkurent_2,   5G ,Skoczów   
178,Konkurent_3,  LTE  ,Kłodzko   
179,Konkurent_2, UMTS  5G ,Wilamowice   
180,Orange,GSM UMTS   ,Stronie Śląskie  
181,Konkurent_2,GSM UMTS LTE 5G ,Muszyna   
182,Orange,GSM UMTS   ,Mielec   
183,Orange,  LTE  IOT,Skoki   
184,Konkurent_2,GSM UMTS   ,Lędziny   
185,Orange, UMTS   ,Człopa   
186,Konkurent_2,GSM  LTE  IOT,Sędziszów Małopolski  
187,Konkurent_3,GSM  LTE  IOT,Sejny   
188,Orange,GSM   5G ,Bisztynek   
189,Konkurent_3,GSM UMTS   ,Ostroróg   
190,Konkurent_3,  LTE  ,Stąporków   
191,Konkurent_3, UMTS LTE  ,Trzebnica   
192,Orange, UMTS   ,Piechowice   
193,Orange,  LTE  ,Morąg   
194,Orange,GSM UMTS   ,Piotrków Kujawski  
195,Konkurent_3, UMTS   ,Białogard   
196,Orange,GSM UMTS   ,Krzyż Wielkopolski  
197,Orange,GSM  LTE  ,Syców   
198,Konkurent_3,GSM    ,Terespol   
199,Konkurent_2,  LTE 5G ,Orzesze   
200,Orange, UMTS LTE  ,Wojkowice   
201,Konkurent_2, UMTS   ,Biskupiec   
202,Orange,GSM  LTE 5G ,Żmigród   
203,Orange, UMTS  5G ,Jaraczewo   
204,Konkurent_1,GSM    IOT,Dobra   
205,Konkurent_2,GSM  LTE 5G ,Tychy   
206,Konkurent_3,GSM  LTE  ,Międzybórz   
207,Konkurent_1,GSM    ,Olkusz   
208,Konkurent_2,  LTE  ,Pakość   
209,Konkurent_2,GSM UMTS   ,Tczew   
210,Konkurent_2,GSM  LTE  ,Leszno   
211,Konkurent_2,GSM UMTS LTE  ,Kraśnik   
212,Konkurent_2,GSM    IOT,Świętochłowice   
213,Konkurent_3, UMTS   IOT,Słubice   
214,Orange,GSM   5G ,Zator   
215,Orange,  LTE  ,Chocianów   
216,Konkurent_1,   5G IOT,Stąporków   
217,Orange,GSM    ,Piastów   
218,Orange,GSM  LTE  IOT,Mikołajki   
219,Konkurent_1,GSM  LTE  ,Pszczyna   
220,Orange,GSM    ,Sulejów   
221,Konkurent_3,   5G ,Nysa   
222,Konkurent_2,GSM    ,Jasień   
223,Konkurent_3,GSM    ,Człopa   
224,Konkurent_3,GSM    IOT,Włoszczowa   
225,Konkurent_2,GSM    ,Świebodzice   
226,Orange,GSM    IOT,Koluszki   
227,Konkurent_2,GSM    IOT,Żarów   
228,Orange,GSM    ,Niepołomice   
229,Konkurent_3,GSM  LTE  ,Szczebrzeszyn   
230,Orange, UMTS   ,Maków Podhalański  
231,Konkurent_2,GSM UMTS LTE  IOT,Cieszyn   
232,Orange,GSM    ,Ostróda   
233,Orange,GSM  LTE  IOT,Olecko   
234,Konkurent_2,GSM  LTE 5G ,Włocławek   
235,Orange,GSM UMTS LTE 5G ,Opole   
236,Konkurent_2,  LTE 5G ,Mońki   
237,Orange, UMTS   ,Barlinek   
238,Orange,  LTE  IOT,Pabianice   
239,Konkurent_1, UMTS   ,Byczyna   
240,Konkurent_1,   5G ,Obrzycko   
241,Orange,  LTE  ,Sosnowiec   
242,Konkurent_2,  LTE  ,Polkowice   
243,Konkurent_3, UMTS   ,Janów Lubelski  
244,Konkurent_3,GSM  LTE  ,Luboń   
245,Konkurent_2,   5G ,Dobrodzień   
246,Konkurent_3, UMTS  5G ,Wojnicz   
247,Konkurent_3, UMTS  5G ,Międzyrzec Podlaski  
248,Konkurent_2,GSM  LTE 5G ,Chełmno   
249,Konkurent_2,GSM  LTE 5G ,Ożarów   
250,Konkurent_2,    IOT,Kożuchów   
251,Konkurent_2,   5G ,Słomniki   
252,Konkurent_3, UMTS   IOT,Piaski   
253,Konkurent_2,  LTE  ,Kołobrzeg   
254,Konkurent_2,GSM    ,Konstantynów Łódzki  
255,Orange,GSM    ,Cybinka   
256,Konkurent_3,GSM UMTS LTE 5G ,Szczuczyn   
257,Orange,   5G ,Szczebrzeszyn   
258,Konkurent_3,  LTE  ,Gołdap   
259,Orange,GSM    ,Radziejów   
260,Konkurent_1, UMTS   ,Murowana Goślina  
261,Konkurent_2, UMTS LTE  ,Zambrów   
262,Orange,GSM  LTE  ,Sławno   
263,Konkurent_2,GSM   5G ,Brodnica   
264,Konkurent_2,GSM UMTS LTE  ,Olkusz   
265,Konkurent_3,   5G ,Płońsk   
266,Orange,  LTE 5G ,Rychwał   
267,Konkurent_2,  LTE 5G ,Boguchwała   
268,Konkurent_3,GSM UMTS LTE  IOT,Radom   
269,Konkurent_2,GSM UMTS   ,Choszczno   
270,Konkurent_1,  LTE  IOT,Wolin   
271,Konkurent_2,GSM  LTE  ,Zduńska Wola  
272,Orange,GSM    ,Radłów   
273,Konkurent_2, UMTS   ,Poręba   
274,Orange,GSM  LTE 5G ,Sianów   
275,Konkurent_2,  LTE 5G ,Jeziorany   
276,Konkurent_3,GSM  LTE 5G ,Nowe Miasto nad Pilicą
277,Konkurent_2, UMTS  5G IOT,Cieszyn   
278,Konkurent_3,   5G ,Ińsko   
279,Konkurent_1,GSM  LTE  ,Korsze   
280,Konkurent_1,GSM  LTE  ,Wielichowo   
281,Konkurent_3,  LTE  ,Skaryszew   
282,Konkurent_3, UMTS LTE 5G ,Gniew   
283,Orange,  LTE 5G ,Nisko   
284,Orange,  LTE 5G ,Toruń   
285,Konkurent_3, UMTS   ,Gubin   
286,Orange,GSM UMTS  5G ,Jabłonowo Pomorskie  
287,Konkurent_1,GSM UMTS   ,Brzeg   
288,Konkurent_3,  LTE  ,Żory   
289,Konkurent_2, UMTS   ,Pionki   
290,Konkurent_2,GSM  LTE  ,Zwierzyniec   
291,Konkurent_2,GSM UMTS LTE 5G ,Głogówek   
292,Konkurent_2,GSM UMTS   ,Puszczykowo   
293,Orange,   5G IOT,Bisztynek   
294,Orange,  LTE  ,Gostyń   
295,Konkurent_2,GSM  LTE  ,Bielsko-Biała   
296,Orange,  LTE  ,Żychlin   
297,Konkurent_2,  LTE 5G ,Stepnica   
298,Konkurent_3,GSM UMTS LTE  ,Sztum   
299,Konkurent_2,  LTE  ,Szczawnica   
300,Orange, UMTS  5G ,Międzyrzec Podlaski  
301,Konkurent_3,GSM UMTS   ,Miastko   
302,Konkurent_3, UMTS   ,Stary Sącz  
303,Konkurent_2,GSM  LTE  ,Nowa Sól  
304,Konkurent_2,GSM   5G ,Brześć Kujawski  
305,Konkurent_3,GSM   5G ,Wąbrzeźno   
306,Orange, UMTS LTE  ,Sokołów Podlaski  
307,Konkurent_3, UMTS   ,Dobrzyń nad Wisłą 
308,Konkurent_1, UMTS LTE  ,Mońki   
309,Konkurent_2,  LTE  ,Alwernia   
310,Konkurent_2,GSM UMTS   ,Świebodzin   
311,Konkurent_1,  LTE  ,Mrągowo   
312,Konkurent_2,GSM  LTE  ,Lidzbark Warmiński  
313,Orange,   5G ,Lwówek Śląski  
314,Konkurent_3,GSM  LTE  ,Iłża   
315,Konkurent_2, UMTS LTE  ,Kozienice   
316,Konkurent_3,  LTE  ,Chorzów   
317,Konkurent_1,GSM UMTS   ,Sulejówek   
318,Orange,GSM UMTS   ,Rabka-Zdrój   
319,Konkurent_3,GSM    ,Tarnobrzeg   
320,Konkurent_2,GSM  LTE  ,Nowe Miasteczko  
321,Konkurent_3,GSM UMTS LTE  IOT,Janów Lubelski  
322,Orange,  LTE 5G ,Grybów   
323,Konkurent_2,  LTE  IOT,Milanówek   
324,Orange,GSM    IOT,Dąbrowa Białostocka  
325,Konkurent_3,GSM   5G ,Będzin   
326,Orange,GSM UMTS   ,Białogard   
327,Konkurent_3,  LTE 5G ,Wyszogród   
328,Konkurent_2,GSM  LTE  ,Włodawa   
329,Konkurent_2, UMTS LTE  ,Sompolno   
330,Konkurent_3,GSM UMTS LTE  ,Jarosław   
331,Konkurent_2,GSM  LTE  ,Czarna Woda  
332,Konkurent_3,GSM    ,Gryfino   
333,Orange,GSM  LTE  ,Sokółka   
334,Konkurent_1,GSM UMTS   ,Staszów   
335,Konkurent_3,GSM  LTE  ,Lubniewice   
336,Konkurent_3, UMTS   ,Piekary Śląskie  
337,Orange,GSM  LTE  ,Głogówek   
338,Orange,  LTE  ,Paczków   
339,Konkurent_2,  LTE 5G ,Sieraków   
340,Konkurent_3,GSM  LTE  ,Zagórz   
341,Konkurent_3, UMTS LTE  ,Wojnicz   
342,Konkurent_2,    IOT,Rybnik   
343,Orange,GSM    ,Augustów   
344,Konkurent_2,GSM  LTE  ,Żerków   
345,Konkurent_2, UMTS   IOT,Słupca   
346,Orange,GSM  LTE  IOT,Radzyń Chełmiński  
347,Orange, UMTS  5G ,Mrozy   
348,Konkurent_1,  LTE  ,Maków Mazowiecki  
349,Konkurent_2,GSM UMTS LTE 5G ,Kleszczele   
350,Konkurent_2,GSM    ,Wołomin   
351,Konkurent_3,GSM  LTE  ,Kolonowskie   
352,Orange,GSM  LTE  ,Koźmin Wielkopolski  
353,Konkurent_2,   5G ,Dzierzgoń   
354,Konkurent_3, UMTS LTE  ,Nisko   
355,Konkurent_2,  LTE  ,Nowy Tomyśl  
356,Konkurent_3,GSM    ,Nowe   
357,Konkurent_2, UMTS   ,Nowe Miasteczko  
358,Orange,  LTE 5G ,Żagań   
359,Konkurent_2, UMTS LTE  ,Świętochłowice   
360,Konkurent_2,GSM    ,Zawadzkie   
361,Konkurent_2,GSM  LTE  ,Aleksandrów Łódzki  
362,Konkurent_3,  LTE 5G ,Nowogrodziec   
363,Konkurent_2, UMTS LTE  ,Wolbórz   
364,Orange,GSM UMTS   ,Rejowiec Fabryczny  
365,Konkurent_1,  LTE  ,Dobrzany   
366,Konkurent_2,GSM UMTS LTE  ,Kruszwica   
367,Konkurent_3,GSM  LTE 5G ,Mogielnica   
368,Konkurent_3,  LTE  ,Bełchatów   
369,Orange, UMTS   ,Brzostek   
370,Konkurent_2,GSM UMTS LTE  ,Hrubieszów   
371,Orange, UMTS   ,Tolkmicko   
372,Konkurent_2,GSM  LTE  IOT,Wysoka   
373,Orange,GSM  LTE  ,Wielichowo   
374,Konkurent_1,GSM   5G ,Nowe Miasto nad Pilicą
375,Orange,GSM UMTS   IOT,Pilica   
376,Orange,   5G ,Nowa Dęba  
377,Konkurent_1,GSM    ,Kraków   
378,Konkurent_1,   5G ,Izbica Kujawska  
379,Konkurent_2,GSM  LTE  ,Drawno   
380,Orange, UMTS LTE  ,Jeziorany   
381,Konkurent_2, UMTS LTE  ,Włoszczowa   
382,Konkurent_3,  LTE 5G IOT,Jędrzejów   
383,Orange,   5G ,Suchedniów   
384,Konkurent_2, UMTS  5G ,Jaraczewo   
385,Konkurent_2,GSM    ,Dolsk   
386,Orange,GSM    ,Stepnica   
387,Orange,   5G ,Dobra   
388,Orange,GSM   5G IOT,Uniejów   
389,Konkurent_2, UMTS LTE  ,Lubsko   
390,Konkurent_2, UMTS   ,Człopa   
391,Konkurent_1,GSM  LTE  ,Dziwnów   
392,Konkurent_2,  LTE  ,Grajewo   
393,Konkurent_2,GSM UMTS LTE  IOT,Łańcut   
394,Orange,    IOT,Wolsztyn   
395,Konkurent_2,GSM  LTE  ,Więcbork   
396,Orange,  LTE 5G ,Koziegłowy   
397,Konkurent_1,GSM  LTE  ,Rumia   
398,Konkurent_3,  LTE  ,Karczew   
399,Konkurent_2,GSM UMTS  5G IOT,Kargowa   
400,Konkurent_1,  LTE  ,Kluczbork   
401,Konkurent_2,   5G ,Ustroń   
402,Konkurent_2,GSM UMTS LTE  ,Świebodzice   
403,Konkurent_3,GSM    ,Syców   
404,Orange,GSM  LTE  ,Jaworzno   
405,Orange,  LTE  ,Polkowice   
406,Konkurent_2,GSM UMTS   ,Barczewo   
407,Konkurent_1, UMTS LTE  ,Żarki   
408,Konkurent_2,GSM  LTE  ,Płońsk   
409,Konkurent_1, UMTS   ,Kwidzyn   
410,Konkurent_3,   5G ,Suchań   
411,Konkurent_3,GSM UMTS LTE 5G ,Syców   
412,Orange,GSM   5G ,Oleszyce   
413,Konkurent_3,GSM    ,Bobowa   
414,Konkurent_3,  LTE 5G ,Krotoszyn   
415,Konkurent_2, UMTS   ,Działoszyn   
416,Konkurent_2, UMTS   ,Nowy Sącz  
417,Konkurent_2,GSM    ,Skarżysko-Kamienna   
418,Konkurent_2,GSM UMTS LTE 5G ,Hajnówka   
419,Konkurent_1,GSM UMTS LTE  ,Chorzele   
420,Konkurent_1, UMTS   IOT,Krynica Morska  
421,Orange,GSM UMTS   ,Złoty Stok  
422,Konkurent_2,GSM    ,Cieszyn   
423,Orange,   5G ,Odolanów   
424,Orange,GSM    ,Murowana Goślina  
425,Konkurent_2,GSM    ,Gryfów Śląski  
426,Konkurent_3,GSM  LTE  IOT,Działoszyce   
427,Konkurent_3,GSM UMTS   ,Radzymin   
428,Konkurent_3,GSM  LTE  ,Tyszowce   
429,Orange,   5G ,Chmielnik   
430,Konkurent_3,GSM    ,Polanów   
431,Konkurent_1,GSM UMTS LTE 5G ,Nowogród   
432,Orange,   5G ,Pieszyce   
433,Konkurent_2,   5G ,Koronowo   
434,Orange,  LTE 5G ,Biała Piska  
435,Orange,GSM UMTS LTE  ,Mrocza   
436,Orange,GSM UMTS LTE  ,Hajnówka   
437,Orange,  LTE  ,Międzylesie   
438,Orange, UMTS LTE  ,Iława   
439,Konkurent_2,   5G ,Zawichost   
440,Orange,GSM UMTS   ,Zakopane   
441,Orange,GSM    ,Pruszcz Gdański  
442,Konkurent_1,GSM   5G IOT,Stary Sącz  
443,Konkurent_2,  LTE  ,Chorzele   
444,Konkurent_3, UMTS   IOT,Syców   
445,Konkurent_2,  LTE  ,Kostrzyn   
446,Konkurent_2,GSM UMTS   ,Siedliszcze   
447,Konkurent_1,GSM   5G ,Garwolin   
448,Konkurent_2,GSM    IOT,Otwock   
449,Orange,GSM   5G ,Zgierz   
450,Orange,GSM UMTS LTE  ,Połczyn-Zdrój   
451,Konkurent_2,GSM    IOT,Dziwnów   
452,Orange,GSM    ,Sokołów Małopolski  
453,Konkurent_2,  LTE  ,Łazy   
454,Konkurent_3, UMTS   ,Maków Mazowiecki  
455,Orange,GSM   5G IOT,Korfantów   
456,Konkurent_2, UMTS   ,Zawiercie   
457,Konkurent_1,  LTE 5G IOT,Bobolice   
458,Konkurent_2,GSM  LTE 5G ,Siemianowice Śląskie  
459,Orange,GSM UMTS LTE  ,Bielawa   
460,Orange,  LTE  ,Pyskowice   
461,Konkurent_2,GSM   5G ,Trzebnica   
462,Orange,   5G ,Puławy   
463,Konkurent_1,GSM UMTS   ,Krosno   
464,Konkurent_3,  LTE  ,Pieńsk   
465,Orange,GSM UMTS LTE  ,Nowy Staw  
466,Orange,  LTE 5G ,Człopa   
467,Konkurent_1,  LTE  ,Zduńska Wola  
468,Orange,GSM   5G ,Gryfów Śląski  
469,Konkurent_2, UMTS LTE  IOT,Brusy   
470,Konkurent_2, UMTS LTE 5G ,Wągrowiec   
471,Konkurent_3,GSM  LTE 5G ,Jaworzno   
472,Konkurent_2,GSM UMTS   ,Mrocza   
473,Konkurent_3,GSM UMTS LTE  ,Zelów   
474,Orange, UMTS LTE  ,Olesno   
475,Konkurent_2,  LTE  IOT,Serock   
476,Orange,  LTE  ,Pajęczno   
477,Konkurent_2,  LTE  ,Mikołajki   
478,Konkurent_3,GSM    ,Chorzów   
479,Orange,   5G ,Bobowa   
480,Orange, UMTS LTE  ,Żagań   
481,Konkurent_3,GSM UMTS   ,Kańczuga   
482,Orange, UMTS   ,Bobowa   
483,Konkurent_1,GSM  LTE  ,Tyszowce   
484,Orange,GSM  LTE  ,Strzyżów   
485,Konkurent_3,GSM    ,Bardo   
486,Konkurent_2,  LTE  ,Frampol   
487,Orange,GSM   5G ,Biała   
488,Orange,  LTE 5G ,Zwierzyniec   
489,Orange, UMTS LTE  ,Praszka   
490,Konkurent_2, UMTS LTE 5G ,Głogów   
491,Orange,GSM   5G ,Knurów   
492,Orange,  LTE 5G ,Kargowa   
493,Konkurent_2, UMTS   ,Buk   
494,Konkurent_3,GSM    ,Krośniewice   
495,Konkurent_2,  LTE  ,Szczebrzeszyn   
496,Konkurent_2,  LTE  ,Kościan   
497,Konkurent_2,  LTE  ,Krasnystaw   
498,Orange, UMTS   ,Gostyń   
499,Konkurent_1, UMTS  5G ,Puszczykowo   
500,Konkurent_2,GSM  LTE 5G ,Nowa Sarzyna  
501,Konkurent_2,  LTE  ,Strzelin   
502,Orange, UMTS LTE  ,Lubań   
503,Konkurent_2,GSM  LTE  ,Goniądz   
504,Konkurent_3,GSM    IOT,Grudziądz   
505,Orange,  LTE  ,Bytów   
506,Konkurent_1, UMTS  5G ,Sobótka   
507,Konkurent_3, UMTS LTE  IOT,Warka   
508,Orange,   5G IOT,Żagań   
509,Konkurent_3,  LTE 5G ,Modliborzyce   
510,Orange,  LTE  ,Szamocin   
511,Konkurent_3, UMTS LTE  ,Głuszyca   
512,Orange,  LTE  ,Stawiski   
513,Konkurent_3,  LTE 5G ,Marki   
514,Konkurent_3, UMTS LTE  ,Trzciel   
515,Orange, UMTS LTE  ,Oborniki Śląskie  
516,Konkurent_2,GSM UMTS LTE  ,Jedwabne   
517,Orange,  LTE  ,Tolkmicko   
518,Orange,GSM    IOT,Prószków   
519,Konkurent_2,GSM    ,Jordanów   
520,Konkurent_3,GSM UMTS   ,Suwałki   
521,Orange,GSM    ,Prudnik   
522,Orange, UMTS  5G ,Cieszyn   
523,Orange,  LTE  ,Chociwel   
524,Konkurent_1,GSM UMTS LTE 5G ,Stargard   
525,Konkurent_3,GSM    ,Mońki   
526,Konkurent_1, UMTS   ,Uniejów   
527,Orange,  LTE  ,Błonie   
528,Konkurent_2,  LTE 5G ,Dobczyce   
529,Konkurent_2, UMTS LTE  ,Solec Kujawski  
530,Konkurent_1,GSM  LTE  ,Mieszkowice   
531,Orange,  LTE  ,Chorzów   
532,Konkurent_3, UMTS   ,Wyszogród   
533,Konkurent_2,GSM    ,Jedwabne   
534,Konkurent_2,  LTE 5G ,Zabrze   
535,Konkurent_2,GSM UMTS LTE  ,Reszel   
536,Konkurent_3,GSM   5G ,Gniewkowo   
537,Orange,  LTE  ,Łazy   
538,Konkurent_3,  LTE  ,Wyszków   
539,Orange,  LTE  ,Tarnów   
540,Konkurent_3,  LTE  IOT,Dęblin   
541,Konkurent_3,  LTE  ,Koluszki   
542,Orange,  LTE 5G ,Piaski   
543,Orange,  LTE  ,Opole   
544,Orange,  LTE  ,Złoty Stok  
545,Orange,GSM  LTE  ,Dobczyce   
546,Orange, UMTS LTE  ,Ożarów Mazowiecki  
547,Konkurent_3,GSM   5G ,Kowalewo Pomorskie  
548,Konkurent_1,GSM  LTE 5G ,Ćmielów   
549,Orange,   5G ,Jeziorany   
550,Orange, UMTS  5G ,Gniewkowo   
